PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPUNAVAILREASON,EMPPOP,EMPRESPONSE,EMPSAMPLE,EMPRESP_RATE,EMPAGG,EMPSBJ,WORKSTUDY,STUDY,UNEMP,PREVWORKSTUD,BOTH,NOAVAIL,WORK
10007803,10007803,UAHFIRLJMES,1,0,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFIRLJMES,1,0,15,15,20,80,23,CAH19-04-07,90,5,5,5,10,5,75
10007803,10007803,UAHFIRLJMGT,1,0,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFIRLJMGT,1,0,20,20,30,55,13,CAH17-01-01,85,10,0,10,10,5,65
10007803,10007803,UAHFIRLJMHI,1,0,20,20,30,65,24,,95,10,0,5,20,0,65
10007803,10007803,UAHFIRLJMTH,1,0,50,50,80,60,13,CAH09-01-01,95,20,0,0,5,0,65
10007803,10007803,UAHFIRLJMTH,1,0,10,10,15,65,13,CAH15-01-04,90,10,0,0,25,10,55
10007803,10007803,UAHFIRLJPHI,1,0,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFIRLJPHI,1,0,20,20,35,55,13,CAH20-02-01,95,25,0,5,15,0,50
10007803,10007803,UAHFIRLJPRS,1,1,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFIRLJPRS,1,1,15,15,20,80,23,CAH19-04-07,90,5,5,5,10,5,75
10007803,10007803,UAHFIRLJPSY,1,0,15,15,25,55,13,CAH04-01-01,100,20,0,0,15,0,65
10007803,10007803,UAHFIRLJPSY,1,0,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFIRLJRSN,1,0,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFIRLJRSN,1,0,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFIRLJSAN,1,0,10,10,15,65,13,CAH15-01-04,90,10,0,0,25,10,55
10007803,10007803,UAHFIRLJSAN,1,0,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFIRLJSCH,1,1,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFIRLJSCH,1,1,55,55,85,66,13,CAH20-01-01,93,30,0,5,11,2,52
10007803,10007803,UAHFIRLJSPN,1,0,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFIRLJSPN,1,0,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFIRLJSUD,1,0,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFIRLJSUD,1,0,15,15,20,80,13,CAH26-01-02,100,30,0,0,10,0,60
10007803,10007803,UAHFIRLJTHS,1,1,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFIRLJTHS,1,1,15,15,25,60,23,CAH20-02-02,95,15,0,5,5,0,75
10007803,10007803,UAHFIRLSIRL,1,0,50,50,100,50,24,,85,10,5,5,15,5,60
10007803,10007803,UAHFIRLTIRL,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFIRLTIRL,1,1,80,80,130,62,12,CAH20-01,91,29,0,6,10,3,51
10007803,10007803,UAHFIRLWPRS,1,1,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFIRLWPRS,1,1,15,15,20,80,23,CAH19-04-07,90,5,5,5,10,5,75
10007803,10007803,UAHFIRSTIRS,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFIRSTIRS,1,1,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFISATISA,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFISATISA,1,1,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFISATISA,1,1,55,55,85,66,13,CAH20-01-01,93,30,0,5,11,2,52
10007803,10007803,UAHFISETISE,1,1,45,45,65,65,13,CAH19-01-01,95,10,0,0,15,0,75
10007803,10007803,UAHFISETISE,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFISETISE,1,1,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFISGTISG,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFISGTISG,1,1,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFISGTISG,1,1,80,80,130,62,12,CAH20-01,91,29,0,6,10,3,51
10007803,10007803,UAHFISITISI,1,1,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFISITISI,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFISITISI,1,1,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFISLTISL,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFISLTISL,1,1,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFISLTISL,1,1,80,80,130,62,12,CAH20-01,91,29,0,6,10,3,51
10007803,10007803,UAHFISMTISM,1,1,20,20,30,55,13,CAH17-01-01,85,10,0,10,10,5,65
10007803,10007803,UAHFISMTISM,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFISMTISM,1,1,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFITNJBPS,1,1,15,15,25,55,13,CAH04-01-01,100,20,0,0,15,0,65
10007803,10007803,UAHFITNJBPS,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFITNJLTN,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFITNJLTN,1,1,80,80,130,62,12,CAH20-01,91,29,0,6,10,3,51
10007803,10007803,UAHFITNJMEH,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFITNJMEH,1,1,55,55,85,66,13,CAH20-01-01,93,30,0,5,11,2,52
10007803,10007803,UAHFITNJMGT,1,1,20,20,30,55,13,CAH17-01-01,85,10,0,10,10,5,65
10007803,10007803,UAHFITNJMGT,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFITNJMHI,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFITNJMHI,1,1,55,55,85,66,13,CAH20-01-01,93,30,0,5,11,2,52
10007803,10007803,UAHFITNJMTH,1,1,50,50,80,60,13,CAH09-01-01,95,20,0,0,5,0,65
10007803,10007803,UAHFITNJMTH,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFITNJPHI,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFITNJPHI,1,1,20,20,35,55,13,CAH20-02-01,95,25,0,5,15,0,50
10007803,10007803,UAHFITNJPRS,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
